Sample	Read1	Read2	Notes	readpair_counts
NY_d_TSU184_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_d_TSU184_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_d_TSU184_8w/R2_final.fq.gz	NA	3344104
NY_r_B6_11_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_11_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_11_8w/R2_final.fq.gz	NA	6034442
NY_r_B6_12_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_12_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_12_8w/R2_final.fq.gz	NA	7593087
NY_r_B6_13_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_13_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_13_8w/R2_final.fq.gz	NA	2412124
NY_r_B6_14_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_14_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_14_8w/R2_final.fq.gz	NA	2595560
NY_r_B6_15_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_15_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_15_8w/R2_final.fq.gz	NA	9010733
NY_r_B6_16_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_16_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_16_8w/R2_final.fq.gz	NA	11369583
NY_r_B6_17_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_17_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_17_8w/R2_final.fq.gz	NA	3944389
NY_r_B6_18_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_18_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_18_8w/R2_final.fq.gz	NA	13463713
NY_r_B6_27_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_27_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_27_8w/R2_final.fq.gz	NA	11113317
NY_r_B6_28_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_28_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_28_8w/R2_final.fq.gz	NA	13471638
NY_r_B6_29_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_29_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_29_8w/R2_final.fq.gz	NA	8180366
NY_r_B6_30_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_30_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_30_8w/R2_final.fq.gz	NA	2581311
NY_r_B6_31_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_31_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_31_8w/R2_final.fq.gz	NA	6618176
NY_r_B6_32_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_32_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_32_8w/R2_final.fq.gz	NA	3499825
NY_r_B6_33_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_33_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_33_8w/R2_final.fq.gz	NA	3673348
NY_r_B6_34_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_34_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_34_8w/R2_final.fq.gz	NA	4217214
NY_r_B6_35_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_35_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_35_8w/R2_final.fq.gz	NA	3607022
NY_r_B6_36_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_36_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_36_8w/R2_final.fq.gz	NA	4129667
NY_r_B6_45_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_45_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_45_8w/R2_final.fq.gz	NA	5189578
NY_r_B6_46_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_46_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_46_8w/R2_final.fq.gz	NA	3027512
NY_r_B6_47_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_47_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_47_8w/R2_final.fq.gz	NA	2901968
NY_r_B6_48_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_48_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_48_8w/R2_final.fq.gz	NA	3143409
NY_r_B6_49_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_49_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_49_8w/R2_final.fq.gz	NA	2424893
NY_r_B6_50_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_50_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_50_8w/R2_final.fq.gz	NA	2940086
NY_r_B6_51_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_51_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_51_8w/R2_final.fq.gz	NA	3975188
NY_r_B6_52_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_52_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_r_B6_52_8w/R2_final.fq.gz	NA	3365017
R1N1C001	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/R1N1C001/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/R1N1C001/R2_final.fq.gz	NA	5869900
R1N1C003	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/R1N1C003/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/R1N1C003/R2_final.fq.gz	NA	4822005
R1N1C005	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/R1N1C005/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/R1N1C005/R2_final.fq.gz	NA	2580549
R1N1C007	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/R1N1C007/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/R1N1C007/R2_final.fq.gz	NA	5910690
R1N1C009	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/R1N1C009/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/R1N1C009/R2_final.fq.gz	NA	8158596
R1N1C011	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/R1N1C011/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/R1N1C011/R2_final.fq.gz	NA	6347697
R1N1C015	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/R1N1C015/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/R1N1C015/R2_final.fq.gz	NA	4741219
R1N1T002	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/R1N1T002/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/R1N1T002/R2_final.fq.gz	NA	4736005
R1N1T004	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/R1N1T004/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/R1N1T004/R2_final.fq.gz	NA	3343178
R1N1T006	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/R1N1T006/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/R1N1T006/R2_final.fq.gz	NA	6388516
R1N1T008	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/R1N1T008/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/R1N1T008/R2_final.fq.gz	NA	5004557
